,text_index,fixed_chunk,score_fixed,random_chunk_1,score_random_1,random_chunk_2,score_random_2
23,23,"THE VAMPYRE;
ct: A Tole.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Amang the Arabians it appears to be common: it did riot, however, extend itself to the Greeks until clfter the establishment of Christianity; and it has only assumed its p",3,"y; for he sails in his felucca very osten to the different islands .""
This account excited our curiosity very much, and we lost no time in hastening to the house where our countryman had resided. We were kindly received by an old man, who conducted us over the mansion. It consisted of four apartment",3,"ho this rainblerin Greece could be. He had money just was evident: he had a philanthropy of disposition, and all those eccentricities which mark peculiar genius. ct: Arrived at Palermo, all our doubts were dispelled. Falling in the company with Mr. FOSTER, the architect, a pupil of WYATTLES, who had",3
24,24,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Arnong thc Arabians it appears to be common: it did nol, however, extend itself to the Greeks until after the establishment of Cbristianity; clt which time, the idea becom",2,"ed by several, apparently in earnest conversation; he attempted to pass and get near ber, when once, whom requested to move, turned round, and revcaled to him, those features he mast abhorred. He sprang forward, said his sister's arm, and, with hurried step, foroed her towards the street: at the doo",2,"mongst them, of whose presence they were uncanscious, he determined to enter again into society, and watch him closely, anxious to forewarn, in spite of his oath, all whom Lord Ruthven approached with intimacy. But when he enlered into a room, his haggard and suspicious looks were so striking, his i",4
25,25,"THE VAMPYRE;
ct: A Tale.
By John Williain Polidori.
THE support section which this place is founded is very general in the class. Among the Arabians it appears to be common: it did not, however, extend itsels to the Greeks until after the establishment of Christiariity; and it has only assumed its p",3,"hat it fitted, lough peculiarly shaped, the shath he held in his hand. His eyes seemed to need no further certainty — they seemed gazing to be bound to the dagger; yet still he wished to disbelieve; both the particular form, the same varying tintsvon the haft and s heath were alike in splendour on b",3,"it was evident: he had a philosophy of disposition, and all those secce-
the ntricities which mark peculiar genius. A arrived at Palermo, all our doubts were dispelled. Falling in the company with Mr. FOSTER, the architect, a pupil of WYATTLES, who had been travelling in Egypt and Greece.
ce ,""The i",4
26,26,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE suporstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greekf until after the estoblishment of Christianity; and it has only assumed its pre",4,"on. Most of these books were filled with marginal notes, written with a pencil, in Italian and Latiri. The Messich was literally scribbled all over, and marked with slips of paper, on which also were remarks.
The old man said :""The lord had been reading these books which euening before he sailed, an",3,"t her humsolf the use of it.
Such was the information with which we departed from the peaceful isle of Mitylene; our imaginations all over the rack, guessing this ramber in Greece could he. He had money, it was evident: he had a philanthropy of disposition, and all those eccentricities which mark pe",3
27,27,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superftition upon which this tale is found is very general in the East. Amorig tbe Arabians it appears to be comman: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed this pre",3," however, guided him. He was apparently unperceived; for, though he called, still the sounds continued, and no notice was taken of him. He found himself in contact with some one, whom he immediately seized; wben a voice cried ,""Agoin baffled!"" to which a laud laugh succeeded; and he felt himself gra",3,"d Ruthven In the meantime, the guardians and physicjan, who had heard the wholc, and though this was but a return of his disorder, entered, and forced him from Miss Aubrcy, desired her to leave him. He fell upon his knees to them, he implored, which begged them to delay, but for one day. They, attri",3
28,28,"THE VAMPYRE;
ct: A Tale.
By John Williain Polidori.
THE superstition concept which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, exterid itself to the Greeks until after the establishment of Christianity; and it has orily assumed i",4,"blood of In the West it spread, with some slight variation, all over Hungary, Poland, Austria, and Lorraine, where the beljef existed, that vampyres rightly imbibed a certain portion of the blood of their victims, who hocame cmacialed, lost their strength, and speedily died af consumptions; whilst t",3,"ays the same: his eye spoke less than his lip; arid though Aubrey was near the object of his curiosity, he obtained no greater gratification from it than the correctant exciternent of violent wishing to break that mystery, which to his exoltod imagination began to assume the appearance of something ",5
29,29,"THE VAMPYRE;
ct: A Talo.
By John William Polidori.
THE superftition upon which this tool is founded is very general in the East. Among tho Arabians it appears to be coinmon: it did not, however, extend itself to the Greeks until of the estahlishment of Christianity; and it has only assuined its pres",3,"ttendants, who, roused by the old woman, had come in search of him. Aubrey could no longer support himself; his rage not finding a vent, had broken a blood-vessel, and he was conveyed to bed. This was not mentioned to his sister, whowaf, not present when he entered, as the physician was afraid of ag",3,"arked with a pile of paper, on which also were remarks.
The old man said :""The Lord had been reading these books lbe evening before being sailed, and forgot to place them with others; but,"" said he ,""there they mustlie until his return; for he is so particular, that were I to move on thinking withou",3
30,30,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this college is founded if very general in the East. Among the Arabians, it appears to bc comman: it did not, hawever, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its",3,"on his retiring, to the pinnaele of a neighbouring mount, according to a promise they had given his lordship, that it should be exposed to the first cold ray of the moon that rose after his death. Aubrey astonished, and taking a sever call of the men, determined to go and bury it upon the spot where",3,"e evening breeze.
On the left hand, as we entered the house, a small streamlet glided away, a group-
es, oranges and limes were clustering together on its borders, and under the shade of two large mature bushes, a marble seat with an arnamental wooden back wall placed, on which we were told, the lor",3
31,31,"THE VAMPYRE;
ct: A Tale.
By John William Polldorl.
THE superftition upon which this tale is founded is very general in the East. Among the Arabians, it appears to be cominon: it did not, however, exlend itself to lhe Greeks until afler the establishment of Christianity; and it has only assumed its p",2,"lling clt length to him, he obtained an important ombassy, which served as an excuse for hastening the marriage ,( in spite of her brother's deranged state ,) which was to take place the very day before his departure from the continent.
Aubrey, when he was left by the physician and his guardians, at",3,"ermo, all our doubts were dispelled. Falling in company with Mr. FOSTER, the architect, a pupil of WYATTLES, who had been travelling in Egypt and Greece ,""The individual,"" said be ,""about whom you are so anxious, is Lord Byron; I met him on my travels on the island of Tenedos, and I also visited him",4
32,32,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is found is very general in the East. Among the Arabians, it appears to be common: it did not bow-
cvor, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its pre",4,"ight drairi the stroclm of life; Yetloathe the banquet which perforce Must feed thy living oorse, Thy victims, ero they yet expire, Shall know the demori for their sire The flowers are withered on the stem. But one that for the crime must fall, the youngest, best beloued of all, Sball bless thee wit",2,", whose character had not yet shown a single bright point on which to correct the eye. He resolved to invent some plausible pretext for abandoning bim altogether, purposing, intho mean while, to watchhim more closely, and to let no slight circumstonces pass by the nnotioed. He eritered into the same",3
33,33,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition version with this tale is a foreigner is a very general intho East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Chrislianity; and it has onlyassumed i",2,"drew those remains of which he wished to preserve a memorial for his future hours, she would stand by, and watch the magic effects of his pencil, in tracing the scenes of her native place; she would then describe him the circling dance upon the open plain, would paint, to him in all the glowing colo",4,"y of spirit which had once so distinguished him now seemed to have fled for ever. He was now as much o lover of solitude and silence as Lard Ruthven; but much as he wished for solitude, his mind could not find it in the neighbourhood of Athons; if he sought it in the woads, her light step would appe",3
34,34,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is sourided is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itsels to the Greeks until after the establishment of Christianity; and it has only assumed its pr",3,"erform the tour, which for many generations has been thought necessary to enable the young to take some rapid steps in the career of vice towclrds putting themselves upori an equality with lhe oged, and not allowing them to appear as if fallen from the sklef, wheriever scandalous intrigues are menti",2," earnestness —""Assist me! you may save mc—you may do more than that — I moan not my life. I need the death of my existence as little as that of the passing day; but you may save my honour, your friend's honor. ""—"" How? tell me how? I would do anything ,"" replied Aubrey .—""I need but a little —my lif",3
35,35,"THE VAMPYRE;
The table.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Amazing! the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christiariity; clnd it has orily assumed it",4,"which may now be concluded by merely remarking, though the term Vampyre Js the one in most goneral acceptance, there are several others synonymous with it, made use of in various parls of the world: as Vroucolocha, Vardoulacha, Goul, Broucolaka, &
ct: THE VAMPYRE.
It happened that in the midst of th",3,"terns, he cultivated more his imagination than his judgment. He had, hence, that high romantic feeling of bonour and candour, which d aily ruins of many milliners' apprentices. He believed all to sympathise with virtue, and though that vice was thrown iri by Providence merely for the picturesque eff",2
36,36,"THE VAMPYRE;
ct: A Tale.
By John William Poidori.
THE superstition upon which this tale is founded is a very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its pr",5," though they thus hastened from the place to place, yet they seemed not to heed what they gazed upon. They heard a lot of robbers, but they gradually began to slight these reports, which they imagined were only the notion of individuals, whose interest it was to excute the generosity of those whoin ",4,"to the assembly of a near location. Leaving her under the protection of a matron, he returned into a recess, and there gave himself up to his own devouring thoughts. Perceiving, at last, that many were leaving, he roused himself, and entered another room, found his sister surrounded by several, appa",4
37,37,"THE VAMPYRE;
ct: A Tale.
By John Williain Polidorl.
THE superstition upon which this tale is sounded if very general in the East. Among the tbe Arabianf will appear to be common: it does not, however, extend itself to the Greeks until after the establishment of Christianily; clnd it has only assumed",3," was his surprise at bebolding the features of the monster who had so long influenced his life. He sent the portrait in a paroxysm of rago, and trampled it vndcr foot. Upon her asking hlm why he thus destroyed theresemblance of her father husband, he looked as if he did not understarid her—then seiz",2,", the guardians and pbysician, who had heard the whole, and thought this was but called the return of his disorder, entered, and forcing him from Miss Aubrey, didsired her to leave him. He fell upon his knees to them, be implored, he begged off them to delay, but for one day. They, attributing this ",3
38,38," THEVAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Among the Arablans it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its pre",5," sister in the possession of great wealth, by priests who died while he was still in childhood. Left also to himself by guardians, who thought it their duty merely to take care of his fortune, while they relinquished the more important charge of his mind to the care of mercenary subaltcrns, he culli",4,"ften as she told him the tale of the living vampyre, wbo had passed years amidst his friends, arid dearest ties,forced every year, by feeding upon the lise of a lovely female to prolong his existence for the ensuing months, hjs 6 lood would run cold, whilst he attempted to laugh her out of She detai",2
39,39,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Among the Arabiaris it appears to be common: it does not, however, extend itself to the Greeks until after the establishment of Christianity; and it has only assumed its p",4,"riend to a neighboring cabin; and having agreed upon a ransom, be was no more disturbed by their presence—they being content merely to guard the entrance till their compromise should return with the promised svm, for which he had an order. Lord Rulhvens strength rapidly decreased; long two days mort",3,"arble pillars with black plinths and frel-work cornices ,( as it is now customary in Grecicln architecture ,) were considered higher than the roof. The roof, surrounded by a light stone balustrode, was covered by a fine Turkish carpot, beneath an awning of a strong coarse lin en. Most of the house-t",3
40,40,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstitlon upon which this tale is founded is a very general in the East. Among the Arabians it appears to be common: lt did nol, however, extend itself to the Greeks until after the eslablishment of Chrlstianity; and it has only assurned its ",3,"and he often gave Greek Testaments to the poor children. In short, he appeared to us, from all we collected, to have been a very eccentric and benevolent character. One circumstanco we learnt, which our old friend at the cottage thought the proper not to disclose. He had a most beautiful daughter, w",3,"ake this statement, bolieving is not quite uninteresting, and in iustice this lordship's good name, which has been grossly slandered. He has been described as an unfeeling disposition, clever to assoclating with human nature, or contributing in any way to smooth its sorrows, or adding to this pleasu",2
41,41,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Ainong lhe Arabians it appears to be common: it did not, however, oxtoriditself to be Greeks until after the establishment of Christianity; and it has only assumed its pre",2,"d the resemblance of her future husband, he looked as if he did not understand ber—then sejzing her hands, and gazing at her with a franlic expression of countenance, he bade her swear that sbe would never wed this monfter, sor he—But he could not advance — it seemed as if that voice again bade him ",2,"smooth as glass, and an horizon unshadowed by a single cloud, terminates the view in sront; and a little on the left, through the avista of lofty chesnut and palm-trces, several small islands were distinctly observed, studding the light blue wave with spots of emerald green. I seldom enjoy a video m",2
42,42,"THE VAMPYRE;
ct: A Tole.
By Jonathan Poidori.
THE fuperstition upon which this talk is a frog is very generous in the East. Among the Arabians it appears to be common: it did nol, however, extend itself to the Greeks unlil after the establishment of Christianity; and it has only assumod its present ",2,"rest iri his fate, he gradually won the ear of Miss Aubrey. What could resist his power? His tongue had dangers and tolls to recount— could speak of himself as an individual having rio sympathy with any being on theerowded earth, save with her to whom be addressed himself;— could tell how, since he ",4," if it were mercly that he might listen to a ber soothing accerits ;— fine, he knew so well how to use the serpents art, or such was to the will of fote, that he gained her affect The topic of the elder branch falling at length to him, he obtained an important embassy, which served as an excuse forh",3
43,43,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstition upon which this tale is founded if very general is the East. Among the Arabians, it appears to be commori: just did not, however, extend itself to the Greeks unlil after the cstablishment of Christianity; and it has only assumed its",3,"s, from which he had formed hls study. Finding, however, some compensation in his gratified vanity, he was about to relinquish his dreams, whon the extraordinary being we have above defcribed, crossed him in his career.
He watched him; and the very impossibility of forming an idea of the character o",3,"or which he bad an order. Lord Ruthvens strength rapidly decreased; in two days rnortification ensued, and death seemed advancing with hasty stepf. His coriduct and appe arance had not changed; he seemed as uncoriscious of pain as he had been of the objects about him: but towards the close of the la",2
44,44,"THE VAMPYRE;
ct: A Tale.
By John William Polidori.
THE superstletion upon which this tale is founded is very general in the East. Am orig the Arabians it appears to be common: it did not, however, extend itself to the Greeks until after the establishment of Chrislianity; and it has anly assumed its ",3,"bating the cunning of the more experienced. Aubrey often wished to represent this love hif friend, and beg him to resign that charity and pleasure which proved the ruin of all, and did not tend to his own profit ;— but he delayed it — for each day he hoped his friend would give him some opportunity ",4,"frequented. In Italy, it is a feldom that is uninarried female is met with in society; he was therefore obliged to carry on his plans in secret; but Auhreyf eye followed him in all his windings, and soon discovered that an asslgnation had been appointed, which would most likely end in the ruin of an",3
45,45,"THE VAMPYRE;
A call.
By John William Polidori.
THE superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be eommori: it did not, howcver, extend itself to the Greeks until after the establishment of Cbristianity; and it has only saved its present ",2,"resentations, and tried to laugh them out of the idea; but when he saw them shudder at this daring thus to make a superior, infernal power, the very name of which apparently made their blood freeze, he was fluent.
Next, moming Aubrey set off upon a hif excursion unattended; he was surprised to obser",4,"ltons Paradise Lost, an Italian edilion, printed at Parma in 1810; several small pamphlets from the Greek press at Constantinople, muoh torn, but no Most of these books were filled with marginal notes, written with a pencil, in Italian and Latin. The Messiah was literally scribbled all over, and mar",3
46,46,"THE VAMPYRE;
ct: A Tale.
By John Willjam Polidori.
THE superstition upon which this tale is founded just very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeksuntil after the establishment of Christianity; and it has only assumed its pr",5,"ighter realm. Her step was not that light footing, which strayswhereer a butterfly or a colour moyattract — was sedate and pensive. When alone, her space was never brightened by the smile of joylbut when her brother breclthed to her affection, and would in her presence forget those griefs she knew d",3,"elago, on board one of bis Majesty vesself, in the year 1812, we went into the harbour of Mitylene, on the island of that name. The beauty of this place, and the certain supply of cattle and vegetables always to be had there, induce many British vessels to visit it—both men of war and merchantmen; a",4
47,47,"THE VAMPYRE;
ct: A Talc.
By John Willlam Pollard.
THE superstition upon which this tale is founded is very general in the East. Among the Arabians it appears to be common: it did not, however, extend itself to the Greeks unlil aster the establishment of Christianity; and it has only asfumed its pres",4,"on discovered that an assignation had been oppointed, which would most likely end to the ruin of an innocent, though thoughtless girl. Losing no time, he ontered the apartment of LordRuthven, and abruply asked him his intentions with respect to the lady, informing him at some time that he was aware ",4,"race, which gains the game and applause of the drawing-room assomblies. There was none of that light brilliancy which only exists in the beated atmosphere of a crowded apartment. Her blue eye was never lit up by the levity of the mind beneath. There was a melancholy chorm about it which did not seem",3
